Sample ID,Repo,PR #,PR URL,Disclosure Present,Disclosure Classification,Notes
"kubernetes/kubernetes#140205","kubernetes/kubernetes","140205","https://github.com/kubernetes/kubernetes/pull/140205","No","None",""
"kubernetes/kubernetes#136242","kubernetes/kubernetes","136242","https://github.com/kubernetes/kubernetes/pull/136242","No","None",""
"kubernetes/kubernetes#138359","kubernetes/kubernetes","138359","https://github.com/kubernetes/kubernetes/pull/138359","No","None",""
"kubernetes/kubernetes#137650","kubernetes/kubernetes","137650","https://github.com/kubernetes/kubernetes/pull/137650","No","None",""
"kornia/kornia#4027","kornia/kornia","4027","https://github.com/kornia/kornia/pull/4027","Yes","Positive","AI-assisted end to end. Claude wrote, by Claude (Opus 5)."
"kornia/kornia#3803","kornia/kornia","3803","https://github.com/kornia/kornia/pull/3803","Yes","Positive","🤖 Generated with Claude Code"
"kornia/kornia#3889","kornia/kornia","3889","https://github.com/kornia/kornia/pull/3889","Yes","Positive","AI-assisted: I used AI for boilerplate/refactoring but have manually reviewed and tested every line."
"kornia/kornia#3801","kornia/kornia","3801","https://github.com/kornia/kornia/pull/3801","Yes","Positive","🤖 Generated with Claude Code"
"kornia/kornia#4076","kornia/kornia","4076","https://github.com/kornia/kornia/pull/4076","Yes","Positive","I used an AI assistant to help..."
"kornia/kornia#3792","kornia/kornia","3792","https://github.com/kornia/kornia/pull/3792","Yes","Positive","🤖 Generated with Claude Code"
"kornia/kornia#3995","kornia/kornia","3995","https://github.com/kornia/kornia/pull/3995","No","None",""
"kornia/kornia#3815","kornia/kornia","3815","https://github.com/kornia/kornia/pull/3815","Yes","Positive","🤖 Generated with Claude Code"
"kornia/kornia#3810","kornia/kornia","3810","https://github.com/kornia/kornia/pull/3810","Yes","Positive","🤖 Generated with Claude Code"
"kornia/kornia#3821","kornia/kornia","3821","https://github.com/kornia/kornia/pull/3821","Yes","Positive","🤖 Generated with Claude Code"
"kornia/kornia#3755","kornia/kornia","3755","https://github.com/kornia/kornia/pull/3755","Yes","Negative","🟢 No AI used."
"kornia/kornia#3841","kornia/kornia","3841","https://github.com/kornia/kornia/pull/3841","Yes","Positive","🤖 Generated with Claude Code"
